filename,intact_pixels,coverage_pct,status
mosaic_0001.jpg,139504,0.5322,APPROVE
mosaic_0002.jpg,109884,0.4192,APPROVE
mosaic_0003.jpg,48400,0.1846,REJECT
mosaic_0004.jpg,73211,0.2793,REJECT
mosaic_0005.jpg,121301,0.4627,APPROVE
mosaic_0006.jpg,165997,0.6332,APPROVE
mosaic_0007.jpg,112321,0.4285,APPROVE
mosaic_0008.jpg,125961,0.4805,APPROVE
mosaic_0009.jpg,3364,0.0128,REJECT
mosaic_0010.jpg,101168,0.3859,REJECT
mosaic_0011.jpg,82718,0.3155,REJECT
mosaic_0012.jpg,68352,0.2607,REJECT
mosaic_0013.jpg,86300,0.3292,REJECT
mosaic_0014.jpg,119961,0.4576,APPROVE
mosaic_0015.jpg,91460,0.3489,REJECT
mosaic_0016.jpg,192969,0.7361,APPROVE
mosaic_0017.jpg,77976,0.2975,REJECT
mosaic_0018.jpg,125100,0.4772,APPROVE
mosaic_0019.jpg,22801,0.087,REJECT
mosaic_0020.jpg,2704,0.0103,REJECT
mosaic_0021.jpg,200906,0.7664,APPROVE
mosaic_0022.jpg,76614,0.2923,REJECT
mosaic_0023.jpg,164250,0.6266,APPROVE
mosaic_0024.jpg,107054,0.4084,APPROVE
mosaic_0025.jpg,49284,0.188,REJECT
mosaic_0026.jpg,72600,0.2769,REJECT
mosaic_0027.jpg,2401,0.0092,REJECT
mosaic_0028.jpg,47211,0.1801,REJECT
mosaic_0029.jpg,0,0.0,REJECT
mosaic_0030.jpg,166720,0.636,APPROVE
mosaic_0031.jpg,79210,0.3022,REJECT
mosaic_0032.jpg,129600,0.4944,APPROVE
mosaic_0033.jpg,129960,0.4958,APPROVE
mosaic_0034.jpg,141614,0.5402,APPROVE
mosaic_0035.jpg,10368,0.0396,REJECT
mosaic_0036.jpg,0,0.0,REJECT
mosaic_0037.jpg,0,0.0,REJECT
mosaic_0038.jpg,4900,0.0187,REJECT
mosaic_0039.jpg,97886,0.3734,REJECT
mosaic_0040.jpg,123735,0.472,APPROVE
mosaic_0041.jpg,184762,0.7048,APPROVE
mosaic_0042.jpg,161800,0.6172,APPROVE
mosaic_0043.jpg,94916,0.3621,REJECT
mosaic_0044.jpg,115968,0.4424,APPROVE
mosaic_0045.jpg,91712,0.3499,REJECT
mosaic_0046.jpg,101761,0.3882,REJECT
mosaic_0047.jpg,15685,0.0598,REJECT
mosaic_0048.jpg,89450,0.3412,REJECT
mosaic_0049.jpg,124210,0.4738,APPROVE
mosaic_0050.jpg,4761,0.0182,REJECT
mosaic_0051.jpg,0,0.0,REJECT
mosaic_0052.jpg,190500,0.7267,APPROVE
mosaic_0053.jpg,123517,0.4712,APPROVE
mosaic_0054.jpg,83336,0.3179,REJECT
